table_name,cols
acts,"id, fop_id, invoice_id, direction, number, date, act_type, items, total, status, created_at, client_name, client_ipn, client_address, notes, subtotal, vat_amount"
app_admins,email
attachments,"id, fop_id, entity_type, entity_id, filename, storage_path, mime, size, created_at"
clients,"id, fop_id, name, ipn, phone, email, address, is_vat_payer, notes, created_at"
contracts,"id, fop_id, counterparty_id, counterparty_name, number, date, valid_until, subject, total_amount, status, notes, created_at"
debts,"id, fop_id, kind, counterparty, amount, due_date, note, created_at"
employees,"id, fop_id, full_name, rnokpp, position, salary, iban, hire_date, fire_date, is_active, leave_entitlement, leave_used, created_at"
fop_documents,"id, fop_id, category, title, filename, storage_path, mime, size, created_at"
fops,"id, user_id, full_name, rnokpp, tax_group, is_vat_payer, use_warehouse, use_rro, legal_address, actual_address, same_address, bank_accounts, main_kved, additional_kveds, registration_date, edr_record, ep_certificate, vat_certificate, checkbox_login, checkbox_password, checkbox_license_key, facsimile, xml_doc_ver, notes, created_at, is_active, stamp_path, signature_path"
hr_orders,"id, fop_id, employee_id, order_type, order_number, order_date, effective_date, details, created_at"
invoices,"id, fop_id, direction, number, date, due_date, client_name, client_ipn, client_address, items, subtotal, vat_amount, total, status, created_at, notes, contract_id"
leave_records,"id, fop_id, employee_id, leave_type, start_date, end_date, days, created_at"
movements,"id, fop_id, date, item_name, movement_type, qty, price, note, created_at"
payments,"id, fop_id, invoice_id, direction, date, amount, payment_method, acquiring_commission, created_at"
payroll_records,"id, fop_id, employee_id, period, data, status, created_at"
pending_payments,"order_id, user_id, fop_id, modules, months, amount, status, created_at, processed_at"
products,"id, fop_id, name, unit, price, vat_rate, notes, created_at"
subscriptions,"id, fop_id, module, active_until, created_at"
support_messages,"id, ticket_id, author, body, created_at"
support_tickets,"id, user_id, title, description, page, status, created_at"
transactions,"id, fop_id, date, type, counterparty, amount, description, payment_method, invoice_payment_id, created_at, invoice_id, contract_id"
trash,"id, fop_id, entity_type, entity_data, deleted_at"
vat_invoices,"id, fop_id, direction, number, date, counterparty, amount, created_at, rate, kind, corrected_number, corrected_date, correction_reason"
